In what ways has the program impacted how you managed your health?,Frequency,Percent of cases
Did not answer,3,4.60%
Unsure,4,6.20%
No Impact,4,6.20%
Easier to get to appointments,10,15.40%
Easier to make an appointment,8,12.30%
Easier to access medication I need,2,3.10%
Consistency and security of medications,3,4.60%
"Have more time to take care of myself (ex: exercise, consistent hygienic routines, etc.)",32,49.20%
Living conditions are healthier,25,38.50%
Go to the doctor more often,9,13.80%
Increased access to knowledge around healthy eating ,7,10.80%
Easier to access grocery stores/restaurants,4,6.20%
Increased support network,13,20%
Other,6,9.20%
