In what ways has the program impacted how you managed your health?,Adult,Youth
Did not answer,56.00%,4.60%
Unsure,49.00%,6.20%
No Impact,47.00%,6.20%
Easier to get to appointments,43.00%,15.40%
Easier to make an appointment,32.00%,12.30%
Easier to access medication I need,32.00%,3.10%
Consistency and security of medications,29.00%,4.60%
"Have more time to take care of myself (ex: exercise, consistent hygienic routines, etc.)",16.00%,49.20%
Living conditions are healthier,13.00%,38.50%
Go to the doctor more often,10.00%,13.80%
Increased access to knowledge around healthy eating ,9.00%,10.80%
Easier to access grocery stores/restaurants,4.00%,6.20%
Increased support network,3.00%,20%
Other,1.50%,9.20%
