,Number of Entire Sample,Percent of Entire Sample who Disliked Aspect of Apartment,
   Did not answer,4,2.9%,
   Unsure,2,1.5%,
   All positive,34,25.0%,
   Building/Unit is unsafe,9,6.6%,
   Landlord is not responsive,23,16.9%,
   Pest Problem (Rodents Bugs),15,11.0%,
"   Bad Neighbors (not respectful, welcoming, etc.)",13,9.6%,
   Feels unwelcome in building/unit due to race,2,1.5%,
"   Feels unwelcome in building/unit, other reason",3,2.2%,
"   Building/Unit is not well cared for (maintenance issues, upkeep)",47,34.6%,
"   Building/Unit does not have amenities they value (laundry, appliances, parking)",21,15.4%,
   Noisy/thin walls,3,2.2%,
   poor Floor/layout/space,23,16.9%,
   Building/Unit not accessible for disability,4,2.9%,
23_other,1,0.7%,
   Stray Cats and Dogs that Sit by the Door,1,0.7%,
   Can't Smoke in Building,2,1.5%,
   Package Theft,3,2.2%,
,,,
