,Older Adult Homeless,"Older Adult homeless, no kids",,"Emerging Adult, no kids",,Families with Dependent Children,Families with Dependent Children,,,,,,,,
 All postive,19,43.2%, All postive,8,20.5%,11,21.6%,,,,,,,,
Not Safe,5,11.4%,Not Safe,18,46.2%,14,27.5%,,,,,,,,
Did not answer,2,4.5%,,,,2,3.9%,,,,,,,,
"Little access to transportation and community resources (library, grocery stores, churches, etc.)",6,13.6%,"Little access to transportation and community resources (library, grocery stores, churches, etc.)",1,2.6%,8,15.7%,,,,,,,,
Run down homes and property,1,2.3%,Run down homes and property,1,2.6%,4,7.8%,,,,,,,,
" Pests (Rodents, Bugs)",1,2.3%," Pests (Rodents, Bugs)",1,2.6%,2,3.9%,,,,,,,,
,,, Unwelcome in Neighborhood due to race,1,2.6%,4,7.8%,,,,,,,,
 Unwelcome in Neighborhood due to gender expression/sexuality,,,,,,1,2.0%,,,,,,,,
" Unwelcome in Neighborhood, other reason",2,4.5%," Unwelcome in Neighborhood, other reason",3,7.7%,2,3.9%,,,,,,,,
 Loud/lots of Noise Pollution,2,4.5%, Loud/lots of Noise Pollution,9,23.1%,3,5.9%,,,,,,,,
Negative Personal History in neighborhood,2,4.5%,,,,2,3.9%,,,,,,,,
19_other,2,4.5%,19_other,2,5.1%,3,5.9%,,,,,,,,
      Drug Activity (Using/Selling),3,6.8%,      Drug Activity (Using/Selling),4,10.3%,5,9.8%,,,,,,,,
      Prejudice,1,2.3%,,,,,,,,,,,,,
     Migrants,2,4.5%,,,,,,,,,,,,,
      People Loitering,2,4.5%,      People Loitering,2,5.1%,4,7.8%,,,,,,,,
     Trash/litter,1,2.3%,     Trash/litter,5,12.8%,,,,,,,,,,
Bad/Creepy Neighbors/Bad Relationship with Neighborhoods,3,6.8%,,,,2,3.9%,,,,,,,,
 Could Be More Diverse,1,2.3%,,,,,,,,,,,,,
     Heavy Police Presence/Harassment from Police,,,,3,7.7%,2,3.9%,,,,,,,,
     Difficult to find parking,,,,2,5.1%,4,7.8%,,,,,,,,
     Gentrification,,,,1,2.6%,,,,,,,,,,
     Dogs in Neighborhood,,,,,,1,2.0%,,,,,,,,
      Inconsistent Mail Delivery,,,,,,1,2.0%,,,,,,,,
 Accessibility Issues,,,,,,1,2.0%,,,,,,,,
City Ticketing,,,,,,1,2.0%,,,,,,,,
