"Adults, what do you like about your current apartment? (n=62)",N,
" Floor, Layout, Space",46,74.20%
" Good Neighbors (respectful, welcoming, etc.)",21,33.90%
" Building/Unit has amenities they value (laundry, appliances, parking)",16,25.80%
 Building/Unit is well cared for,15,24.20%
 Building/Unit is safe,14,22.60%
 Landlord is responsive/good relationship/reasonable,12,19.40%
 Quiet,6,9.70%
 Unit helps manage challenges related to disability,3,4.80%
 Feels welcome in building/unit regarding race,2,3.20%
" Feels welcome in building/unit, other reason",2,3.20%
 View,2,3.20%
 Having Own Space/A Place to Call Your Own/Happy to not be on street,2,3.20%
 Did not answer,1,1.60%
 Feels Comfortable/Cozy/At Home,1,1.60%
