What Adults Like about their current Apartment ,N,Percent,Percent Cases 
" Floor, Layout, Space",52,32.70%,74.30%
" Good Neighbors (respectful, welcoming, etc.)",23,14.50%,32.90%
" Building/Unit has amenities they value (laundry, appliances, parking)",19,11.90%,27.10%
 Building/Unit is safe,15,9.40%,21.40%
 Building/Unit is well cared for,15,9.40%,21.40%
 Landlord is responsive/good relationship/reasonable,12,7.50%,17.10%
 Quiet,7,4.40%,10.00%
 Unit helps manage challenges related to disability,4,2.50%,5.70%
 View,3,1.90%,4.30%
 Having Own Space/A Place to Call Your Own/Happy to not be on street,3,1.90%,4.30%
 Feels welcome in building/unit regarding race,2,1.30%,2.90%
" Feels welcome in building/unit, other reason",2,1.30%,2.90%
 Did not answer,1,0.60%,1.40%
 Feels Comfortable/Cozy/At Home,1,0.60%,1.40%
