"Adults, in your  current apartment do you...",Yes,No,Neutral,Yes,No,Neutral
Feel like you were steered towards a particular neighborhood?,16,56,1,21.9,76.7,1.4
Feel rushed?,65,6,2,89.0,8.2,2.7
Feel like the person who was helping you listened to you about what you wanted?,12,5,,0.705882353,0.294117647,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Interviewer should ask all questions: In your current apartment... - Do you feel like you were steered towards a particular neighborhood?a,,,,,,
,,Frequency,Percent,Valid Percent,Cumulative Percent,
Valid,Yes,16,21.9,21.9,21.9,
,No,56,76.7,76.7,98.6,
,Neutral,1,1.4,1.4,100,
,Total,73,100,100,,
a Youth = Adult Program,,,,,,
,,,,,,
,,,,,,
Interviewer should ask all questions: In your current apartment... - Do you feel like the person helping you find an apartment listened to you about what you wanted?a,,,,,,
,,Frequency,Percent,Valid Percent,Cumulative Percent,
Valid,Yes,65,89.0,89.0,89.0,
,No,6,8.2,8.2,97.3,
,Neutral,2,2.7,2.7,100.0,
,Total,73,100.0,100.0,,
a. Youth = Adult Program,,,,,,
