Youth ReasonsForLeavingPreviousApartment (n=33),
  Building/Unit is not well cared for,42.40%
"  Pest Problem (Rodents, Bugs)",39.40%
  Building/Unit was unsafe,30.30%
  Neighbors unwelcoming,30.30%
  Landlord not responsive/bad relationship/unreasonable,27.30%
  Neighborhood Not Safe,15.20%
  Evicted or Asked to Leave,9.10%
  Abuse from a partner or person they were living with,9.10%
"  Not near work, school, or church",6.10%
  Unaffordable Bills/Rent,6.10%
  Poor Layout/Insufficient Size,6.10%
  Did not answer,3.00%
  Neighbors unwelcoming due to race,3.00%
"  Little access to transportation and community resources (library, grocery stores, churches, etc.)",3.00%
  Not near family and friends,3.00%
,
