"Youth who likes, what did they like? ",,,,,"Youth who likes, what did they like? N=112",,,,
" Floor, Layout, Space",90,34.0%,78.3%,,,,,,
" Good Neighbors (respectful, welcoming, etc.)",35,13.2%,30.4%,,,,,,
 Building/Unit is well cared for,31,11.7%,27.0%,,,,,,
" Building/Unit has amenities they value (laundry, appliances, parking)",31,11.7%,27.0%,,,,,,
 Building/Unit is safe,22,8.3%,19.1%,,,,,,
 Landlord is responsive/good relationship/reasonable,21,7.9%,18.3%,,,,,,
 Quiet,13,4.9%,11.3%,,,,,,
 View,7,2.6%,6.1%,,,,,,
 Unit helps manage challenges related to disability,3,1.1%,2.6%,,,,,,
 Did not answer,2,0.8%,1.7%,,,,,,
 Feels welcome in building/unit regarding race,2,0.8%,1.7%,,,,,,
" Feels welcome in building/unit, other reason",2,0.8%,1.7%,,,,,,
 Having Own Space/A Place to Call Your Own/Happy to not be on street,2,0.8%,1.7%,,,,,,
 Feels Comfortable/Cozy/At Home,2,0.8%,1.7%,,,,,,
22_other,1,0.4%,0.9%,,,,,,
 Everything is Positive,1,0.4%,0.9%,,,,,,
,,,,,,,,,
