Youth likes about current apartment,N,Percent,percent of case 
" Floor, Layout, Space",54.00,37.20%,77.10%
 Building/Unit is well cared for,17.00,11.70%,24.30%
" Building/Unit has amenities they value (laundry, appliances, parking)",17.00,11.70%,24.30%
" Good Neighbors (respectful, welcoming, etc.)",15.00,10.30%,21.40%
 Building/Unit is safe,9.00,6.20%,12.90%
 Landlord is responsive/good relationship/reasonable,9.00,6.20%,12.90%
 Quiet,8.00,5.50%,11.40%
 View,5.00,3.40%,7.10%
 Nothing,4.00,2.80%,5.70%
 Did not answer,2.00,1.40%,2.90%
 Feels Comfortable/Cozy/At Home,2.00,1.40%,2.90%
22_other,1.00,0.70%,1.40%
 Historic neighborhood,1.00,0.70%,1.40%
 Everything is Positive,1.00,0.70%,1.40%
