AdditionalServicesWantedFromCaseManager=NESTER,N=35,Percent of cases
 Did not answer,2,5.6%
 Unsure,11,30.6%
 Nothing,9,25.0%
 Adjusting to living in an apartment,2,5.6%
 Social Support/ someone to talk with/problem solve,5,13.9%
 Moving into/setting up the apartment,1,2.8%
 Negotiating with landlord/ landlord tenant relationship,1,2.8%
" Getting social security or disability benefits, food stamps, unemployment",2,5.6%
" Material aid (food, clothes, furniture, money)",2,5.6%
" Getting into education programs (GED, college courses, work certifications, etc)",2,5.6%
" Accessing substance abuse treatment, mental health treatment, etc.",2,5.6%
 Finding work,3,8.3%
" Life Skills (cleaning, grocery shopping, organizing life)",3,8.3%
 Transportation Needs,2,5.6%
 Better Responsiveness/Support/Extended Programming,2,5.6%
