AdditionalServicesWantedFromCaseManager=WAYSTATION,N=76,Percent of cases
 Did not answer,10,13.2%
 Unsure,17,22.4%
 Nothing,17,22.4%
 Finding an apartment,3,3.9%
 Adjusting to living in an apartment,3,3.9%
 Social Support/ someone to talk with/problem solve,3,3.9%
 Moving into/setting up the apartment,1,1.3%
 Negotiating with landlord/ landlord tenant relationship,2,2.6%
" Getting IDS (driver?s license, voter registration, Social security card)",1,1.3%
" Getting social security or disability benefits, food stamps, unemployment",1,1.3%
" Material aid (food, clothes, furniture, money)",6,7.9%
" Getting into education programs (GED, college courses, work certifications, etc)",8,10.5%
" Accessing substance abuse treatment, mental health treatment, etc.",7,9.2%
 Finding work,9,11.8%
" Life Skills (cleaning, grocery shopping, organizing life)",4,5.3%
 Help with resources for your kids,9,11.8%
" Finding out about other forms of affordable housing (HUD vouchers, etc)",2,2.6%
 Transportation Needs,3,3.9%
 Covid Resources,1,1.3%
28_other,1,1.3%
 Better Responsiveness/Support/Extended Programming,4,5.3%
