CaseManagerHelped=CUSP,N=11,Percent of cases
  Finding an apartment,3,27.3%
  Adjusting to living in an apartment,3,27.3%
  Social Support/ someone to talk with/problem solve,2,18.2%
  Moving into/setting up the apartment,2,18.2%
  Negotiating with landlord/ landlord tenant relationship,2,18.2%
"  Getting IDS (driver?s license, voter registration, Social security card)",1,9.1%
"  Getting social security or disability benefits, food stamps, unemployment",2,18.2%
"  Material aid (food, clothes, furniture, money)",9,81.8%
"  Getting into education programs (GED, college courses, work certifications, etc)",1,9.1%
"  Accessing substance abuse treatment, mental health treatment, etc.",1,9.1%
  Finding work,1,9.1%
"  Life Skills (cleaning, grocery shopping, organizing life)",1,9.1%
  Help with resources for your kids,2,18.2%
  Transportation Needs,1,9.1%
