CaseManagerHelped=NESTER,N=35,Percent of cases
  Finding an apartment,14,40.0%
  Adjusting to living in an apartment,3,8.6%
  Social Support/ someone to talk with/problem solve,12,34.3%
  Moving into/setting up the apartment,5,14.3%
  Negotiating with landlord/ landlord tenant relationship,4,11.4%
"  Getting IDS (driver?s license, voter registration, Social security card)",6,17.1%
"  Getting social security or disability benefits, food stamps, unemployment",6,17.1%
"  Material aid (food, clothes, furniture, money)",27,77.1%
"  Getting into education programs (GED, college courses, work certifications, etc)",2,5.7%
"  Accessing substance abuse treatment, mental health treatment, etc.",2,5.7%
  Finding work,5,14.3%
"  Adjusting to living in an apartment (neighbor expectations, living with others)",1,2.9%
"  Life Skills (cleaning, grocery shopping, organizing life)",7,20.0%
  Help with resources for your kids,2,5.7%
"  Finding out about other forms of affordable housing (HUD vouchers, etc)",2,5.7%
  Transportation Needs,8,22.9%
  Covid Resources,2,5.7%
