CaseManagerHelped=WAYSTATION,N=77,Percent of cases
  Finding an apartment,21,27.3%
  Adjusting to living in an apartment,12,15.6%
  Social Support/ someone to talk with/problem solve,31,40.3%
  Moving into/setting up the apartment,12,15.6%
  Negotiating with landlord/ landlord tenant relationship,7,9.1%
"  Getting IDS (driver?s license, voter registration, Social security card)",8,10.4%
"  Getting social security or disability benefits, food stamps, unemployment",7,9.1%
"  Material aid (food, clothes, furniture, money)",59,76.6%
"  Getting into education programs (GED, college courses, work certifications, etc)",7,9.1%
"  Accessing substance abuse treatment, mental health treatment, etc.",6,7.8%
  Finding work,26,33.8%
"  Adjusting to living in an apartment (neighbor expectations, living with others)",4,5.2%
"  Life Skills (cleaning, grocery shopping, organizing life)",16,20.8%
  Help with resources for your kids,18,23.4%
"  Finding out about other forms of affordable housing (HUD vouchers, etc)",4,5.2%
  Transportation Needs,30,39.0%
  Covid Resources,1,1.3%
27_other,2,2.6%
