LivingBeforeProgram-CUSP,N=11,Percent of Cases
  The subway or bus,2,18.2%
  An abandoned building,1,9.1%
  A Car or other private vehicle,5,45.5%
  Emergency Shelter,6,54.5%
  Hotel/motel,2,18.2%
  Parent or guardian?s apartment or house,1,9.1%
  Someone else?s apartment or house,7,63.6%
  Interim or transitional housing,1,9.1%
  Long-term alcohol and drug-free facility,2,18.2%
  Hospital (including psychiatric facility),4,36.4%
"  Treatment or recovery program, including detox, half-way house, or residential treatment program",1,9.1%
  Jail or prison,1,9.1%
  Corrections halfway house,1,9.1%
  Indoor Space Not Intended For Living,1,9.1%
