LivingBeforeProgram-NESTER,N=34,Percent of Cases
"  An all-night theater, subway station, airport or other indoor public place",4,11.8%
  The subway or bus,7,20.6%
  An abandoned building,8,23.5%
  A Car or other private vehicle,1,2.9%
  Emergency Shelter,14,41.2%
  Hotel/motel,3,8.8%
  Own SRO room,3,8.8%
  Someone else?s SRO room,1,2.9%
  Own apartment or house (includes living with roommates or romantic partner),6,17.6%
  Parent or guardian?s apartment or house,5,14.7%
  Someone else?s apartment or house,16,47.1%
  Boarding house or board-and-care facility,1,2.9%
  Interim or transitional housing,1,2.9%
  Group home,3,8.8%
  Hospital (including psychiatric facility),4,11.8%
  Nursing home or skilled nursing facility,2,5.9%
"  Treatment or recovery program, including detox, half-way house, or residential treatment program",1,2.9%
  Jail or prison,5,14.7%
7_Others,1,2.9%
  Indoor Space Not Intended For Living,1,2.9%
