LivingNowIfNoFHP=NESTER,N=36,Percent of cases 
 Unsure,11,30.6%
 The subway or bus,2,5.6%
 On the street or other outdoor space,6,16.7%
 Emergency Shelter,6,16.7%
 Own apartment or house (includes roommates and romantic partner),3,8.3%
 Parent or guardian?s apartment or house,3,8.3%
 Someone else?s apartment or house,3,8.3%
 Group home,1,2.8%
 Nursing home or skilled nursing facility,1,2.8%
" Treatment or recovery program, including detox, half-way house, or residential treatment program",1,2.8%
 Jail or prison,3,8.3%
11_other,1,2.8%
 Dead,4,11.1%
 CHA/ Sec 8 /Other Housing Program,1,2.8%
