NeighborhoodArea,,,,,,,,,,,,,
Austin,1,,,,,,,,,,,,
Belmont Cragin,1,,,,,,,,,,,,
Brighton Park,1,,,,,,,,,,,,
Chatham,2,,,,,,,,,,,,
Douglas,1,,,,,,,,,,,,
East Garfield Park,1,,,,,,,,,,,,
Grand Boulevard,5,,,,,,,,,,,,
Greater Grand Crossing,2,,,,,,,,,,,,
Humboldt Park,3,,,,,,,,,,,,
Irving Park,1,,,,,,,,,,,,
Jefferson Park,1,,,,,,,,,,,,
New City,1,,,,,,,,,,,,
North Lawndale,3,,,,,,,,,,,,
Rogers Park,1,,,,,,,,,,,,
Roseland,1,,,,,,,,,,,,
South Shore,5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Washington Park,1,,,,,,,,,,,,
West Garfield Park,2,,,,,,,,,,,,
Woodlawn,1,,,,,,,,,,,,
,34,,,,,,,,,,,,
,,,,,,,,,,,,,
